market,best_page_target,review_count
Salt Lake,Salt Lake City market hub,51
Salt Lake,Sandy city page,8
Salt Lake,South Jordan city page,4
Salt Lake,West Jordan city page,2
Salt Lake,American Fork city page,1
Salt Lake,Draper city page,1
